time,Azimpur,Barisal,Bogra,Jamalpur,Jessore,Kishorganj,Kushtia,Lakshmipur,Madaripur,Mymensingh,Nagarpur,Narail,Narayanganj,Narsingdi,Nawabganj,Pabna,Palang,Par Naogaon,Pirojpur,Raipur,Rajshahi,Ramganj,Sarishabari,Satkhira,Shahzadpur,Sherpur,Sirajganj,Tangail,Tungi,Tungipara
2020-07-01 00:00:00,0.82,0.87,0.79,0.8,0.83,0.83,0.75,0.86,0.83,0.82,0.76,0.83,0.84,0.83,0.72,0.76,0.83,0.71,0.84,0.86,0.71,0.86,0.78,0.86,0.77,0.79,0.77,0.74,0.79,0.84
2020-07-01 01:00:00,0.83,0.88,0.8,0.82,0.86,0.85,0.79,0.88,0.85,0.83,0.81,0.85,0.84,0.85,0.74,0.8,0.86,0.74,0.86,0.88,0.75,0.87,0.8,0.87,0.8,0.84,0.78,0.78,0.82,0.86
2020-07-01 02:00:00,0.84,0.9,0.77,0.84,0.88,0.85,0.82,0.9,0.87,0.84,0.84,0.87,0.86,0.89,0.77,0.83,0.88,0.76,0.88,0.9,0.8,0.89,0.81,0.89,0.83,0.87,0.82,0.83,0.84,0.88
2020-07-01 03:00:00,0.87,0.92,0.78,0.86,0.89,0.88,0.85,0.91,0.89,0.86,0.87,0.89,0.88,0.91,0.81,0.86,0.9,0.79,0.89,0.92,0.83,0.92,0.81,0.9,0.86,0.89,0.85,0.86,0.86,0.9
2020-07-01 04:00:00,0.89,0.93,0.81,0.86,0.91,0.91,0.88,0.92,0.91,0.87,0.89,0.91,0.9,0.92,0.84,0.89,0.92,0.83,0.91,0.93,0.86,0.93,0.84,0.92,0.88,0.9,0.87,0.88,0.88,0.91
2020-07-01 05:00:00,0.9,0.94,0.85,0.86,0.92,0.92,0.9,0.93,0.92,0.89,0.9,0.92,0.92,0.92,0.87,0.91,0.93,0.86,0.92,0.93,0.89,0.94,0.86,0.93,0.9,0.91,0.9,0.9,0.9,0.93
2020-07-01 06:00:00,0.88,0.92,0.84,0.85,0.89,0.89,0.87,0.9,0.91,0.87,0.88,0.9,0.89,0.89,0.86,0.89,0.91,0.84,0.9,0.9,0.87,0.91,0.86,0.9,0.88,0.9,0.88,0.88,0.88,0.91
2020-07-01 07:00:00,0.83,0.85,0.8,0.84,0.81,0.86,0.8,0.86,0.84,0.84,0.82,0.84,0.83,0.84,0.8,0.83,0.85,0.8,0.83,0.86,0.81,0.86,0.82,0.82,0.82,0.85,0.84,0.81,0.83,0.84
2020-07-01 08:00:00,0.83,0.77,0.76,0.81,0.73,0.87,0.73,0.83,0.78,0.8,0.78,0.8,0.83,0.85,0.73,0.76,0.8,0.75,0.74,0.79,0.74,0.79,0.8,0.76,0.77,0.82,0.8,0.81,0.81,0.8
2020-07-01 09:00:00,0.81,0.69,0.72,0.8,0.73,0.86,0.77,0.78,0.71,0.83,0.79,0.74,0.81,0.84,0.7,0.74,0.76,0.74,0.68,0.75,0.73,0.77,0.8,0.65,0.79,0.79,0.74,0.8,0.83,0.7
