,min,mean,median,max
2019-01-31,28.9,123.19826280695008,117.7,352.20000000000005
2019-02-28,14.75,84.05159581022798,76.7,302.65
2019-03-31,16.1,70.13943353957757,65.5,238.14999999999998
2019-04-30,9.4,44.770326190855506,41.8,194.5
2019-05-31,6.3,39.04632641750404,37.5,137.1
2019-06-30,3.6,26.77767610016541,24.8,91.4
2019-07-31,3.8,22.843897870156532,20.0,101.2
2019-08-31,2.4,18.477843003585313,17.1,72.8
2019-09-30,4.5,26.301428038777036,24.5,169.0
2019-10-31,8.0,44.98801483342306,41.6,201.95
2019-11-30,7.1,77.06325024758746,76.3,217.85000000000002
2019-12-31,19.3,105.73856056712917,101.9,298.9
2020-01-31,18.6,108.77532675119797,104.9,319.9
2020-02-29,15.6,82.79467465848128,79.3,226.89999999999998
2020-03-31,14.6,60.290963144366856,56.5,202.3
2020-04-30,7.7,40.953163536945105,37.8,168.25
2020-05-31,4.9,25.177910079325457,22.1,120.6
2020-06-30,4.4,27.168157181571814,25.7625,100.4
2020-07-31,3.6,20.070339586721637,18.5,74.75
2020-08-31,3.2,17.920255956534746,16.1,62.0
2020-09-30,2.5,23.18340133447545,20.2,104.4
2020-10-31,4.4,41.924411768857276,39.0,184.35
2020-11-30,6.95,70.473927328786,65.5,263.5
2020-12-31,17.2,117.31518038617888,113.4,320.35
