,count,mean,std,min,25%,50%,75%,max
Barisal,29066.0,58.14773962705566,42.983042402377464,1.2,26.2,43.7,78.7,334.7
Bogra,28892.0,59.783061054963305,41.91570503955952,5.0,27.8,46.3,82.1,303.7
Dhaka,29054.0,70.68944035244716,59.03400559118002,1.5,27.825000000000003,49.5,95.4,547.1
Jamalpur,28975.0,58.52094219154443,41.84266057119619,1.9,26.7,44.8,80.5,323.8
Jessore,29713.0,64.27596674856123,47.350562300037694,3.4,29.1,48.3,88.3,379.1
Kishorganj,28688.0,60.01139500836587,45.079019432462786,1.8,26.1,44.9,82.4,397.0
Kushtia,29784.0,64.6542338168144,46.25896411081392,1.5,29.7,49.5,88.8,325.7
Lakshmipur,28970.0,57.554967207455995,42.6794561762785,1.2,25.7,43.3,77.9,361.2
Madaripur,29066.0,63.209619486685476,48.560455322248885,1.3,27.4,46.3,85.3,392.6
Mymensingh,28911.0,58.44224689564525,42.688096095291066,1.9,26.2,44.3,80.5,354.1
Nagarpur,29056.0,65.71508810572686,50.23937048539761,1.6,28.5,48.3,89.2,411.7
Narail,29851.0,63.81322903755318,47.31031656126817,1.3,28.7,47.6,87.3,333.7
Narayanganj,29051.0,67.98698495748854,55.61638712341316,1.4,27.4,48.3,91.8,506.0
Narsingdi,28931.0,65.31287200580692,52.224276459584395,1.6,26.8,47.0,88.5,473.6
Nawabganj,29468.0,63.34272770462875,42.57404038578746,4.6,30.2,50.8,87.5,336.7
Pabna,29633.0,64.49979414841562,46.329663707240336,1.5,29.5,49.2,88.6,333.9
Palang,29067.0,63.33896170915471,49.041036963651706,1.3,27.2,46.2,85.5,406.8
Par Naogaon,28879.0,60.603545829149205,41.79175310225899,4.8,28.5,47.4,83.3,317.7
Pirojpur,28894.0,58.236910777324006,42.749317772676555,4.2,26.5,43.8,79.3,303.3
Raipur,28977.0,58.796176277737516,44.08780043780593,1.3,26.0,43.9,79.5,375.4
Rajshahi,29493.0,63.55949208286712,43.478337439486005,4.4,30.0,50.2,87.9,327.9
Ramganj,28972.0,59.30105964379402,44.76091686071258,1.3,26.0,44.1,80.3,386.5
Sarishabari,29050.0,59.88888812392426,43.14453742093699,1.9,27.3,45.6,82.375,334.2
Satkhira,29696.0,62.345474137931035,47.082817653496775,2.8,27.7,46.3,86.025,448.8
Shahzadpur,29068.0,64.1992878767029,47.40197584461223,1.6,28.8,48.2,87.6,365.4
Sherpur,28973.0,57.43746936803231,40.90921491819978,2.0,26.3,44.1,79.1,317.1
Sirajganj,29052.0,62.41495594107118,45.70927022291924,1.7,28.1,47.0,85.6,356.7
Tangail,29527.0,64.86048023842585,48.93833088120323,1.6,28.4,48.1,88.3,402.5
Tongi,29052.0,70.44133622470052,58.833152522900356,1.5,27.8,49.4,95.0,550.2
Tungipara,29068.0,60.84761593504885,45.484569962590015,1.2,27.3,45.4,82.7,334.5
