,count,mean,std,min,25%,50%,75%,max
Adilabad,39841.0,40.35769684495871,23.566632933191656,3.3,21.0,37.4,55.1,238.2
Agartala,39136.0,57.027019879394935,42.86366203223971,1.5,23.8,43.9,80.4,393.1
Agra,41464.0,79.21510708084122,64.10560731274063,3.2,35.5,59.1,102.2,833.9
Ajodhya,39892.0,72.77314248470871,50.15212522223448,6.3,34.1,60.1,99.3,479.1
Aligarh,41744.0,81.91959443273284,60.4809584048553,5.3,37.0,64.1,109.3,592.4
Allahabad,39612.0,70.25688932646673,49.97134872975173,6.4,33.2,56.9,94.0,642.2
Ambala,41705.0,58.031492626783354,37.018033590014944,4.4,31.7,49.2,74.9,599.3
Ambikapur,30627.0,59.26509615698566,37.39501219205904,3.8,30.0,50.9,79.9,359.6
Amroha,41765.0,82.112154914402,62.27707162609873,2.2,37.0,64.1,110.6,822.0
Aonla,41840.0,79.18487452198852,58.094150581242225,4.8,36.0,62.6,106.9,650.4
Arambagh,41471.0,62.974537628704404,44.960759133272,2.7,27.9,49.6,88.4,558.3
Araria,41005.0,57.52415315205462,41.925414626904356,2.5,24.7,45.4,80.4,556.4
Arrah,41798.0,75.51936336666826,58.16340645448992,5.3,32.6,58.2,103.6,696.3
Asansol,41470.0,64.56989269351338,43.62797131202721,2.2,31.0,53.6,88.1,697.6
Ashoknagar,32600.0,53.83633742331288,33.616129079947825,6.5,27.9,45.95,72.2,420.3
Ashoknagar Kalyangarh,41996.0,63.36892561196305,48.978880574190704,2.1,26.2,47.4,89.1,629.1
Auraiya,39703.0,78.27190136765485,58.01987190238474,5.9,35.05,61.0,104.7,584.5
Aurangabad,39759.0,71.42666440302825,50.35584812307307,3.7,34.8,57.9,95.5,667.8
Azamgarh,39917.0,73.15733897838015,52.26033979013258,5.1,33.6,59.3,99.9,590.8
Azimpur,41335.0,71.70497157372687,58.85910407296615,1.5,27.8,51.2,99.7,547.1
Bada Barabil,31620.0,55.685705249841874,33.92608782501961,4.6,28.8,47.8,75.7,283.7
Bagaha,41676.0,60.4949119397255,43.11605174296765,4.5,26.2,49.0,85.3,443.9
Bago,30715.0,26.845012209018396,19.642712057380173,1.8,10.9,21.1,40.4,152.3
Bahadurgarh,38779.0,94.15695608447871,71.88539932479193,5.0,43.0,72.1,125.5,687.1
Baharampur,41993.0,63.793397709142,43.47860592685666,4.1,29.2,51.2,89.7,498.5
Baheri,41832.0,74.66626745075541,54.19116609051701,5.0,34.8,59.6,100.1,729.8
Bahraigh,39839.0,73.09946785812897,50.010577343650596,5.2,34.8,60.5,99.3,488.2
Baidyabati,41754.0,64.74809479331321,51.522624780496265,1.6,26.0,48.0,91.2,683.4
Baj Baj,41467.0,60.514289676128016,49.61627901458922,1.5,23.4,43.9,85.2,571.1
Balaghat,38971.0,48.23270380539376,28.72810913151992,5.8,25.0,42.5,65.3,285.8
Balangir,29735.0,48.1748141920296,28.686089268264524,4.8,25.6,41.7,64.5,316.7
Balasore,40699.0,50.481992186540225,32.45462386552838,4.6,24.6,41.1,69.7,247.7
Bali,41490.0,64.54951675102434,53.79946824174544,1.1,24.7,46.8,90.975,719.9
Balrampur,40023.0,69.13324213577194,46.80402388394678,5.6,32.9,57.6,94.3,444.0
Balurghat,40509.0,58.24988274210669,40.25801392973673,5.1,26.2,46.0,81.5,366.5
Banda,39543.0,66.84469311888323,48.874205805490796,6.2,31.0,52.6,87.75,703.2
