Zone,Division,Population,Latitude,Longitude
Azimpur,Dhaka,96641,23.7298,90.3854
Barisal,Barisal,202242,22.705,90.3701
Bogra,Rajshahi,210000,24.851,89.3711
Jamalpur,Mymensingh Division,167900,24.9197,89.9481
Jessore,Khulna,243987,23.1697,89.2137
Kishorganj,Dhaka,90690,24.4394,90.7829
Kushtia,Khulna,135724,23.9028,89.1194
Lakshmipur,Chittagong,61703,22.9443,90.83
Madaripur,Dhaka,84789,23.171,90.2094
Mymensingh,Mymensingh Division,225126,24.7564,90.4065
Nagarpur,Dhaka,238422,24.0578,89.877
Narail,Khulna,55112,23.1551,89.4951
Narayanganj,Dhaka,223622,23.6135,90.503
Narsingdi,Dhaka,281080,23.923,90.7177
Nawabganj,Rajshahi,142361,24.5903,88.2744
Pabna,Rajshahi,186781,24.0064,89.2372
Palang,Dhaka,67652,23.2182,90.3508
Par Naogaon,Rajshahi,192464,24.8042,88.9488
Pirojpur,Barisal,54418,22.5797,89.9752
Raipur,Chittagong,64652,23.0391,90.7681
Rajshahi,Rajshahi,700133,24.374,88.6011
Ramganj,Chittagong,55241,23.1006,90.8499
Sarishabari,Mymensingh Division,81325,24.7513,89.8313
Satkhira,Khulna,128918,22.7082,89.0718
Shahzadpur,Rajshahi,102420,24.1769,89.5988
Sherpur,Mymensingh Division,107419,25.0188,90.0175
Sirajganj,Rajshahi,127481,24.4577,89.708
Tangail,Dhaka,180144,24.2498,89.9166
Tungi,Dhaka,337579,23.8915,90.4023
Tungipara,Dhaka,62210,22.8998,89.9033
