,min,mean,median,max
2017-01-31,3.9,131.31781055989066,126.7,379.0
2017-02-28,10.0,115.03913304908713,114.8,302.5
2017-03-31,2.5,70.71281481123411,63.4,303.3
2017-04-30,16.3,48.17055663682366,46.7,161.4
2017-05-31,11.8,46.28198264722171,44.3,170.6
2017-06-30,3.9,33.045348446280194,31.6,130.3
2017-07-31,5.0,31.454163544398654,29.6,138.8
2017-08-31,1.2,34.26982234797532,32.4,153.8
2017-09-30,6.1,38.32959947899707,34.6,161.5
2017-10-31,6.3,45.01559527901913,42.6,205.3
2017-11-30,1.6,78.04942219565652,68.2,338.3
2017-12-31,26.2,117.72077759811847,123.25,296.2
2018-01-31,55.1,151.42937011590706,149.0,550.2
2018-02-28,38.1,114.41828122511811,106.7,386.8
2018-03-31,23.5,93.23556719022687,83.8,527.1
2018-04-30,10.0,58.226551465063864,51.5,372.0
2018-05-31,4.8,35.04684443624286,33.0,127.0
2018-06-30,3.9,33.81047942508368,32.7,116.4
2018-07-31,5.9,25.675378578024006,24.0,89.4
2018-08-31,4.2,25.546686897051497,23.4,93.5
2018-09-30,5.5,26.092127018089865,25.3,68.1
2018-10-31,11.3,45.07802373345504,43.9,130.8
2018-11-30,17.4,94.61829971181557,88.3,448.8
2018-12-31,20.4,119.19274541531823,119.1,294.2
2019-01-31,34.2,130.71650068141315,126.7,351.8
2019-02-28,14.9,88.49808802308802,80.4,301.6
2019-03-31,16.1,72.35410592808552,67.4,237.4
2019-04-30,9.4,46.239318181818184,43.2,194.5
2019-05-31,6.3,40.27071300296073,38.5,137.1
2019-06-30,3.6,27.63359070766752,25.5,91.4
2019-07-31,3.8,24.081501157163892,21.0,101.2
2019-08-31,2.4,19.221173222912352,17.9,72.8
2019-09-30,4.5,27.550733333333334,25.7,169.0
2019-10-31,8.7,47.39388492722477,44.2,200.9
2019-11-30,7.3,81.81853635505193,82.1,216.9
2019-12-31,19.3,112.11171799027554,108.6,298.9
2020-01-31,26.4,116.25993929359824,113.0,318.1
2020-02-29,22.2,86.46132653061225,82.1,226.6
2020-03-31,15.8,62.94632293080054,59.0,201.1
2020-04-30,10.5,42.11137463126844,38.6,167.2
2020-05-31,5.4,26.502214643019556,22.8,120.3
2020-06-30,4.6,28.932537537537538,27.3,100.5
2020-07-31,5.6,21.3576,19.7,74.7
2020-08-31,3.3,18.91255529091528,17.0,62.0
2020-09-30,2.5,24.225692137320046,21.0,104.7
2020-10-31,4.4,44.15076799633196,41.4,184.2
2020-11-30,7.0,74.50724154689993,69.9,227.3
2020-12-31,43.5,128.081252362949,124.0,319.7
