District "Households Total" "Households General" "Households Institutional" "Households Others" "Population" "Male" "Female" "Ratio_M_F" "Literacy Rate"
Barguna 215842 214863 148 831 892781 437413 455368 96.1 57.64
Barishal 513673 510780 425 2468 2324310 1137210 1187100 95.8 61.24
Bhola 372723 371799 132 792 1776795 884069 892726 99.0 43.24
Jhalokati 158139 157559 123 457 682669 329147 353522 93.1 66.68
Patuakhali 346462 345113 157 1192 1535854 753441 782413 96.3 54.07
Pirojpur 256002 255059 163 780 1113257 548228 565029 97.0 64.85
Bandarban 80102 78714 239 1149 388335 203350 184985 109.9 35.86
Brahmanbaria 538937 537560 261 1116 2840498 1366711 1473787 92.7 45.29
Chandpur 506521 503851 338 2332 2416018 1145831 1270187 90.2 56.78
Chattogram 1532014 1509717 3141 19156 7616352 3838854 37774998 101.6 58.91
Cumilla 1053572 1048984 1120 3468 5387288 2575018 2812270 91.6 53.32
"Cox's Bazar" 415954 413402 321 2231 2289990 1169604 1120386 104.4 39.29
Feni 277665 275461 419 1785 1437371 694128 743243 93.4 59.63
Khagrachhari 133792 132503 243 1046 613917 313793 300124 104.6 46.11
Lakshmipur 365339 364255 225 859 1729188 827780 901408 91.8 49.40
Noakhali 593918 590808 459 2651 3108083 1485169 1622914 91.5 51.29
Rangamati 128496 126414 401 1681 595979 313076 282903 110.7 49.73
Dhaka 2786133 2639630 5578 140925 12043977 6555792 5488185 119.5 70.54
Faridpur 420174 41855 372 1248 1912969 942245 970724 97.1 48.96
Gazipur 826458 809761 1164 15533 3403912 1775310 1628602 109.0 62.60
Gopalganj 249872 248735 225 912 1172415 577868 594547 97.2 58.09
Jamalpur 563367 562180 166 1021 2292674 1128724 1163950 97.0 38.44
Kishoreganj 627322 623914 223 3185 2911907 1432242 1479665 96.8 40.87
Madaripur 252149 251581 145 423 1165952 574582 591370 97.2 47.97
Manikganj 324794 323741 154 899 1392867 676359 716508 94.4 49.20
Munshiganj 313258 310664 320 2274 1445660 721552 724108 99.6 56.09
Mymensingh 1155436 1150574 611 4251 5110272 2539124 2571148 98.8 43.49
Narayanganj 675652 663088 619 11945 2948217 1521438 1426779 106.6 57.10
Narsingdi 477976 473937 393 3646 2224944 1102943 1122001 98.3 49.60
Netrokona 479146 477927 197 1022 2229642 1111306 1118336 99.4 39.44
Rajbari 238153 237352 114 687 1049778 519999 529779 98.2 52.28
Shariatpur 247880 246535 95 1250 1155824 559075 596749 93.7 47.26
Sherpur 341443 340769 121 553 13583225 676388 681937 99.2 37.91
Tangail 870102 866578 564 2960 3605083 1757370 1847713 95.1 46.79
Bagerhat 354223 350537 269 3417 1476090 740138 735952 100.6 58.98
Chuadanga 277464 276910 129 425 1129015 564819 564196 100.1 45.91
Jashore 6564113 653423 469 2521 2764547 1386293 1378254 100.6 56.52
Jhenaidah 422332 421300 173 859 1771304 886402 884902 100.2 48.40
Khulna 5473347 540504 612 6231 2318527 1175686 1142841 102.9 60.14
Kushtia 477289 475989 187 1113 1946838 973518 973320 100.0 46.33
Magura 205902 205492 113 297 918419 454739 463680 98.1 50.64
Meherpur 166312 165974 53 285 655392 324634 330758 98.1 46.27
Narail 162607 162299 74 234 721668 353527 368141 96.0 61.27
Satkhira 469890 468853 172 865 1985959 982777 1003182 98.0 52.07
Bogura 867137 863600 505 3032 3400874 1708806 1692068 101.0 49.38
Joypurhat 242556 241994 115 447 913768 459284 454484 101.1 57.48
Naogaon 655801 654275 250 1276 2600157 1300227 1299930 100.0 48.22
Natore 423875 422921 188 766 1706673 854183 852490 100.2 49.59
Nawabganj 357982 357246 126 610 1647521 810218 837303 96.8 42.94
Pabna 590749 588891 238 1620 2523179 1262934 1260245 100.2 46.72
Rajshahi 633758 630331 520 2907 2595197 1309890 1285307 101.9 52.98
Sirajganj 714971 713064 290 1617 3097489 1551368 1546121 100.3 42.05
Dinajpur 715773 713255 429 2089 2990128 1508670 1481458 101.8 52.42
Gaibandha 612283 611297 142 844 2379255 1169127 1210128 96.6 42.81
Kurigram 508045 507106 156 783 2069273 1010442 1058831 95.4 42.52
Lalmonirhat 290444 289953 139 352 1256099 628799 627300 100.2 46.09
Nilphamari 421572 420906 217 449 1834231 922964 911267 101.3 44.37
Panchagarh 228581 228074 96 411 987644 496725 490919 101.2 51.77
Rangpur 720180 717362 389 2429 2881086 1443816 1437270 100.5 48.55
Thakurgaon 320786 319929 150 707 1390042 701281 688761 101.8 48.71
Habiganj 393302 391657 164 1481 2089001 1025591 1063410 96.4 40.53
Maulvibazar 361177 3597715 158 1304 1919062 944728 974334 97.0 51.10
Sunamganj 440332 438752 134 1446 2467968 1236106 1231862 100.3 34.98
Sylhet 596081 589425 644 6012 3434188 1726965 1707223 101.2 51.18
