"Division/District" "National Highways" "Regional Highways" "Zilla Highways" "Grand Total"
Barishal Zone Total 127.97 290.09 185.91 1603.94
Chattogram Zone Total 459.46 457.39 1749.51 2666.35
Cumilla Zone Total 388.15 368.02 1860.37 2616.64
Dhaka Zone Total 468.63 689.56 711.48 1869.67
Gopalganj Zone Total 263.79 256.02 626.76 1146.57
Khulna Zone Total 478.77 643.48 1737.89 2860.14
Mymensingh Zone Total 285.83 579.12 1745.18 2610.12
Rajshahi Zone Total 493.93 593.55 1375.91 2463.39
Rangpur Zone Total 667.35 542.49 1810.70 3020.54
Sylhet Zone Total 356.90 478.01 784.13 1619.04

"Division/District" "National Highways" "Regional Highways" "Zilla Highways" "Grand Total"
Barishal Circle Total 114.57 193.71 865.80 1174.08
Patuakhali Circle Total 13.37 96.37 320.12 429.87
Chattogram Circle Total 400.48 251.81 847.94 1500.23
Rangamati Circle Total 58.98 205.58 901.57 1166.12
Cumilla Circle Total 298.45 222.15 1002.48 1523.08
Noakhali Circle Total 89.70 145.87 857.90 1093.46
Dhaka Circle Total 276.84 362.73 288.65 928.23
Narayanganj Circle Total 191.79 326.83 422.83 941.44
Faridpur Circle Total 110.25 54.81 322.28 487.35
Gopalganj Circle Total 153.54 201.20 304.48 659.22
Khulna Circle Total 131.38 208.75 794.99 1135.12
Jashore Circle Total 223.75 126.79 408.33 758.87
Kustia Circle Total 123.64 307.94 534.56 966.14
Jamalpur Circle Total 180.65 296.22 768.32 1245.18
Mymensingh Circle Total 105.17 282.90 976.86 1364.93
Rajshahi Circle Total 142.41 361.39 629.17 1132.97
Pabna Circle Total 351.52 232.16 746.74 1330.42
Bogura Circle Total 15919 140.92 699.31 999.42
Rangpur Circle Total 292.75 178.74 371.57 843.06
Dinajpur Circle Toatal 215.41 222.83 739.81 1178.05
Sylhet Circle Total 139.14 300.46 460.02 899.62
Moulovi Bazar Circle Total 217.76 177.55 324.11 719.42
Grand Total 3990.75 4897.71 13587.82 22476.28
