"District" "National Highways" "Regional Highways" "Zilla Highways" "Total Highways"
Barishal 90.78 20.31 242.18 353.27
Bhola 16.47 109.40 155.09 280.96
Jhalokati 7.32 38.81 205.35 251.48
Pirojpur - 25.19 263.18 288.37
Patuakhali 13.37 69.85 173.96 257.18
Barguna - 26.63 146.16 172.68
Chattogram 14257 137.93 289.98 570.48
"Cox's Bazar" 173.80 41.16 348.26 563.22
Khagrachhari - 104.73 284.03 388.76
Rangamati 36.44 70.39 117.98 224.81
Bandarban 22.54 30.45 499.56 552.55
Brahmanbaria 99.64 83.05 107.13 289.82
Chandpur - 71.66 290.66 362.32
Cumilla 198.81 67.44 604.69 870.94
Feni 49.24 6.56 239.70 295.49
Lakshmipur 10.03 56.26 190.21 256.51
Noakhali 30.43 83.05 427.98 541.46
Dhaka 100.44 70.69 105.48 276.61
Gazipur 103.07 211.18 97.87 412.13
Manikganj 73.33 80.86 85.30 239.49
Munshiganj 38.57 103.18 182.98 324.74
Narayanganj 90.60 88.24 74.57 253.41
Narsingdi 62.61 135.41 165.27 363.30
Faridpur 90.60 - 240.09 330.70
Rajbari 19.65 54.81 82.19 156.65
Gopalganj 66.88 74.88 158.34 300.10
Madaripur 86.66 50.39 79.69 216.74
Shariatpur - 75.94 66.45 142.39
Khulna 61.04 42.38 309.76 413.18
Bagerhat 61.12 114.41 264.76 440.29
Satkhira 9.23 51.96 220.47 281.65
Jashore 146.50 54.37 137.69 338.56
Magura 46.27 56.34 129.10 231.71
Narail 30.98 16.08 141.54 188.60
Jhenaidah 74.99 48.84 271.81 395.64
Kushtia 48.65 73.82 146.36 268.82
Meherpur - 66.57 92.32 158.89
Chuadanga - 118.71 24.08 142.79
Jamalpur 19.73 165.67 163.04 348.44
Sherpur 28.00 63.28 228.56 319.84
Tangail 132.92 67.26 376.72 576.90
Mymensingh 101.91 92.77 374.61 569.28
Netrokona - 52.64 316.19 368.83
Kishoreganj 3.27 137.49 286.07 426.83
Rajshahi 100.22 75.94 250.35 426.51
Naogaon - 262.44 212.91 475.34
Nawabganj 42.19 23.01 165.92 231.12
Natore 109.32 39.76 208.51 357.60
Pabna 155.04 168.97 207.01 531.02
Sirajganj 87.16 23.43 331.21 441.80
Bogura 126.35 59.51 338.68 524.54
Gaibandha 32.85 42.37 208.68 283.90
Joypurhat - 39.04 151.95 190.98
Rangpur 108.75 62.56 215.60 386.912
Kurigram 63.30 99.30 113.44 276.04
Lalmonirhat 120.70 16.88 42.54 180.11
Dinajpur 96.08 161.11 267.78 524.96
Nilphamari 17.47 55.59 204.85 277.91
Panchagarh 71.27 - 111.48 182.75
Thakurgaon 30.60 6.14 155.70 192.44
Sylhet 139.14 162.01 253.03 554.18
Sunamganj - 138.46 206.98 345.44
Habiganj 128.02 103.33 107.43 338.78
Maulvibazar 89.73 74.22 216.69 380.64
