Dhaka 0.00 934.74 0.00 0.00 0.00 934.74 0.00 934.74
Gazipur 44189.90 20983.31 0.00 0.00 0.00 65173.21 0.00 65173.21
Mymensingh 34555.11 4305.03 0.00 0.00 0.00 38860.14 0.00 38860.14
Jamalpur 0.00 10364.39 0.00 0.00 0.00 10364.39 0.00 10364.39
Sherpur 6324.70 13759.45 0.00 0.00 0.00 20084.15 0.00 20084.15
Netrokona 591.97 1381.60 0.00 0.00 0.00 1973.57 0.00 1973.57
Tangail 73815.69 49061.21 0.00 0.00 0.00 122876.90 0.00 122876.90
Sylhet 23900.63 25538.85 0.00 0.00 0.00 49439.48 988.88 50428.36
Habiganj 33885.73 274.00 0.00 0.00 0.00 34159.73 2200.00 36359.73
Moulvibazar 59332.62 40.70 0.00 10932.00 0.00 70305.32 1079.41 71384.73
Sunamganj 6434.15 11578.16 0.00 0.00 0.00 18012.31 0.00 18012.31
Chattogram 210626.04 152624.86 46435.46 16402.82 0.00 426089.18 0.00 426089.18
Cox’s Bazar 152986.40 22667.14 33521.42 0.00 0.00 209174.96 0.00 209174.96
Bandarban 242668.40 21830.80 0.00 0.00 38644.75 303143.95 494372.54 797516.49
Rangamati 573261.21 41401.88 0.00 1.50 0.00 614664.59 763890.54 1378555.13
Khagrachari 88492.83 7342.67 0.00 0.00 4202.76 100038.26 454077.95 554116.21
Cumilla 0.00 1720.92 0.00 0.00 0.00 1720.92 0.00 1720.92
Feni 2191.43 18000.00 0.00 0.00 0.00 20191.43 0.00 20191.43
Bagerhat 566512.95 0.00 0.00 0.00 0.00 566512.95 0.00 566512.95
Khulna 546081.61 0.00 0.00 0.00 0.00 546081.61 0.00 546081.61
Satkhira 370354.18 0.00 0.00 0.00 0.00 370354.18 0.00 370354.18
Rangpur 1678.47 1749.03 0.00 21.54 0.00 3449.04 0.00 3449.04
Nilphamari 0.00 0.00 648.59 551.49 0.00 1200.08 0.00 1200.08
Kurigram 128.59 0.00 0.00 0.00 0.00 128.59 0.00 128.59
Lalmonirhat 82.62 0.00 0.00 0.00 0.00 82.62 0.00 82.62
Dinajpur 14609.76 3455.38 0.00 0.00 0.00 18065.14 0.00 18065.14
Thakurgaon 1591.68 0.00 0.00 0.00 0.00 1591.68 0.00 1591.68
Panchagarh 501.38 4049.49 0.00 0.00 0.00 4550.87 0.00 4550.87
Naogaon 473.95 0.00 5991.70 681.99 0.00 7147.64 0.00 7147.64
Noakhali 72132.36 307867.64 4784.72 0.00 0.00 384784.72 0.00 384784.72
Luxmipur 0.00 50000.00 0.00 0.00 0.00 50000.00 0.00 50000.00
Patuakhali 58723.87 91276.13 0.00 0.00 0.00 150000.00 0.00 150000.00
Barguna 30553.90 44466.10 0.00 0.00 0.00 75000.00 0.00 75000.00
Pirojpur 0.00 543.66 0.00 0.00 0.00 543.66 0.00 543.66
Bhola 94245.39 265754.61 0.00 0.00 0.00 360000.00 0.00 360000.00
